"ID";"TravelMotives";"Population";"TravelModes";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"DistanceTravelled_2";"TimeTravelled_3";"Trips_4";"DistanceTravelled_5";"TimeTravelled_6"
"5614";"2030170";"A048710";"A048583";"MW00000";"NL01    ";"2022JJ00";"    0.21";"    4.90";"    6.11";"      75";"    1790";"    37.2"
"5619";"2030170";"A048710";"A048583";"MW00000";"LD01    ";"2022JJ00";"    0.23";"    5.43";"    6.20";"      82";"    1984";"    37.7"
"5624";"2030170";"A048710";"A048583";"MW00000";"LD02    ";"2022JJ00";"    0.22";"    5.73";"    6.80";"      81";"    2090";"    41.3"
"5629";"2030170";"A048710";"A048583";"MW00000";"LD03    ";"2022JJ00";"    0.18";"    4.15";"    5.46";"      64";"    1516";"    33.2"
"5634";"2030170";"A048710";"A048583";"MW00000";"LD04    ";"2022JJ00";"    0.25";"    5.54";"    6.84";"      90";"    2021";"    41.6"
"5639";"2030170";"A048710";"A048583";"MW00000";"PV20    ";"2022JJ00";"    0.19";"    4.66";"    5.45";"      68";"    1703";"    33.2"
"5644";"2030170";"A048710";"A048583";"MW00000";"PV21    ";"2022JJ00";"    0.25";"    6.48";"    7.16";"      91";"    2364";"    43.6"
"5649";"2030170";"A048710";"A048583";"MW00000";"PV22    ";"2022JJ00";"    0.24";"    4.98";"    5.83";"      89";"    1818";"    35.5"
"5654";"2030170";"A048710";"A048583";"MW00000";"PV23    ";"2022JJ00";"    0.22";"    5.35";"    6.30";"      81";"    1954";"    38.3"
"5659";"2030170";"A048710";"A048583";"MW00000";"PV24    ";"2022JJ00";"    0.24";"    6.91";"    7.62";"      86";"    2524";"    46.4"
"5664";"2030170";"A048710";"A048583";"MW00000";"PV25    ";"2022JJ00";"    0.22";"    5.69";"    6.91";"      81";"    2077";"    42.0"
"5669";"2030170";"A048710";"A048583";"MW00000";"PV26    ";"2022JJ00";"    0.18";"    4.59";"    5.57";"      66";"    1675";"    33.9"
"5674";"2030170";"A048710";"A048583";"MW00000";"PV27    ";"2022JJ00";"    0.16";"    3.91";"    4.96";"      58";"    1426";"    30.2"
"5679";"2030170";"A048710";"A048583";"MW00000";"PV28    ";"2022JJ00";"    0.18";"    4.04";"    5.73";"      65";"    1474";"    34.8"
"5684";"2030170";"A048710";"A048583";"MW00000";"PV29    ";"2022JJ00";"    0.25";"    5.59";"    6.22";"      92";"    2040";"    37.8"
"5689";"2030170";"A048710";"A048583";"MW00000";"PV30    ";"2022JJ00";"    0.25";"    5.64";"    7.03";"      90";"    2058";"    42.8"
"5694";"2030170";"A048710";"A048583";"MW00000";"PV31    ";"2022JJ00";"    0.25";"    5.30";"    6.41";"      90";"    1934";"    39.0"
"5699";"2030170";"A048710";"A048583";"MW00000";"1018850 ";"2022JJ00";"    0.13";"    3.11";"    4.25";"      49";"    1135";"    25.9"
"5704";"2030170";"A048710";"A048583";"MW00000";"1018905 ";"2022JJ00";"    0.21";"    5.15";"    6.34";"      76";"    1879";"    38.6"
"5709";"2030170";"A048710";"A048583";"MW00000";"1018955 ";"2022JJ00";"    0.22";"    5.30";"    6.64";"      82";"    1936";"    40.4"
"5714";"2030170";"A048710";"A048583";"MW00000";"1019005 ";"2022JJ00";"    0.26";"    6.28";"    7.51";"      97";"    2292";"    45.7"
"5719";"2030170";"A048710";"A048583";"MW00000";"1019052 ";"2022JJ00";"    0.25";"    5.47";"    6.56";"      91";"    1995";"    39.9"
"5724";"2030170";"A048710";"A048583";"MOG0095";"NL01    ";"2022JJ00";"    0.20";"    4.72";"    5.91";"      73";"    1725";"    35.9"
"5729";"2030170";"A048710";"A048583";"MOG0095";"LD01    ";"2022JJ00";"    0.20";"    4.79";"    5.54";"      75";"    1748";"    33.7"
"5734";"2030170";"A048710";"A048583";"MOG0095";"LD02    ";"2022JJ00";"    0.21";"    5.28";"    6.31";"      77";"    1926";"    38.4"
"5739";"2030170";"A048710";"A048583";"MOG0095";"LD03    ";"2022JJ00";"    0.17";"    3.95";"    5.21";"      62";"    1440";"    31.7"
"5744";"2030170";"A048710";"A048583";"MOG0095";"LD04    ";"2022JJ00";"    0.23";"    5.08";"    6.33";"      85";"    1854";"    38.5"
"5749";"2030170";"A048710";"A048583";"MOG0095";"PV20    ";"2022JJ00";"    0.15";"    3.56";"    4.37";"      57";"    1298";"    26.6"
"5754";"2030170";"A048710";"A048583";"MOG0095";"PV21    ";"2022JJ00";"    0.21";"    5.30";"    5.90";"      78";"    1934";"    35.9"
"5759";"2030170";"A048710";"A048583";"MOG0095";"PV22    ";"2022JJ00";"    0.20";"    4.01";"    4.84";"      74";"    1463";"    29.5"
"5764";"2030170";"A048710";"A048583";"MOG0095";"PV23    ";"2022JJ00";"    0.20";"    4.51";"    5.50";"      72";"    1646";"    33.4"
"5769";"2030170";"A048710";"A048583";"MOG0095";"PV24    ";"2022JJ00";"    0.20";"    5.73";"    6.41";"      75";"    2091";"    39.0"
"5774";"2030170";"A048710";"A048583";"MOG0095";"PV25    ";"2022JJ00";"    0.20";"    5.10";"    6.22";"      75";"    1861";"    37.9"
"5779";"2030170";"A048710";"A048583";"MOG0095";"PV26    ";"2022JJ00";"    0.17";"    4.16";"    5.11";"      61";"    1518";"    31.1"
"5784";"2030170";"A048710";"A048583";"MOG0095";"PV27    ";"2022JJ00";"    0.15";"    3.53";"    4.52";"      54";"    1289";"    27.5"
"5789";"2030170";"A048710";"A048583";"MOG0095";"PV28    ";"2022JJ00";"    0.17";"    3.74";"    5.35";"      61";"    1364";"    32.5"
"5794";"2030170";"A048710";"A048583";"MOG0095";"PV29    ";"2022JJ00";"    0.21";"    4.33";"    5.00";"      77";"    1579";"    30.4"
"5799";"2030170";"A048710";"A048583";"MOG0095";"PV30    ";"2022JJ00";"    0.23";"    5.08";"    6.39";"      85";"    1854";"    38.8"
"5804";"2030170";"A048710";"A048583";"MOG0095";"PV31    ";"2022JJ00";"    0.22";"    4.52";"    5.62";"      81";"    1649";"    34.2"
"5809";"2030170";"A048710";"A048583";"MOG0095";"1018850 ";"2022JJ00";"    0.13";"    2.86";"    3.96";"      46";"    1043";"    24.1"
"5814";"2030170";"A048710";"A048583";"MOG0095";"1018905 ";"2022JJ00";"    0.20";"    4.80";"    5.96";"      72";"    1750";"    36.3"
"5819";"2030170";"A048710";"A048583";"MOG0095";"1018955 ";"2022JJ00";"    0.21";"    4.85";"    6.06";"      77";"    1769";"    36.9"
"5824";"2030170";"A048710";"A048583";"MOG0095";"1019005 ";"2022JJ00";"    0.25";"    5.82";"    7.01";"      92";"    2124";"    42.7"
"5829";"2030170";"A048710";"A048583";"MOG0095";"1019052 ";"2022JJ00";"    0.23";"    4.82";"    5.86";"      82";"    1760";"    35.7"
"5834";"2030170";"A048710";"A048583";"MBG0095";"NL01    ";"2022JJ00";"    0.21";"    5.08";"    6.31";"      77";"    1856";"    38.4"
"5839";"2030170";"A048710";"A048583";"MBG0095";"LD01    ";"2022JJ00";"    0.25";"    6.08";"    6.87";"      90";"    2219";"    41.8"
"5844";"2030170";"A048710";"A048583";"MBG0095";"LD02    ";"2022JJ00";"    0.24";"    6.18";"    7.28";"      86";"    2254";"    44.3"
"5849";"2030170";"A048710";"A048583";"MBG0095";"LD03    ";"2022JJ00";"    0.18";"    4.36";"    5.70";"      66";"    1592";"    34.7"
"5854";"2030170";"A048710";"A048583";"MBG0095";"LD04    ";"2022JJ00";"    0.26";"    5.99";"    7.36";"      95";"    2187";"    44.7"
"5859";"2030170";"A048710";"A048583";"MBG0095";"PV20    ";"2022JJ00";"    0.22";"    5.77";"    6.54";"      79";"    2107";"    39.8"
"5864";"2030170";"A048710";"A048583";"MBG0095";"PV21    ";"2022JJ00";"    0.28";"    7.66";"    8.42";"     104";"    2795";"    51.2"
"5869";"2030170";"A048710";"A048583";"MBG0095";"PV22    ";"2022JJ00";"    0.28";"    5.95";"    6.83";"     103";"    2173";"    41.5"
"5874";"2030170";"A048710";"A048583";"MBG0095";"PV23    ";"2022JJ00";"    0.24";"    6.20";"    7.09";"      89";"    2262";"    43.2"
"5879";"2030170";"A048710";"A048583";"MBG0095";"PV24    ";"2022JJ00";"    0.27";"    8.10";"    8.83";"      98";"    2956";"    53.7"
"5884";"2030170";"A048710";"A048583";"MBG0095";"PV25    ";"2022JJ00";"    0.24";"    6.28";"    7.59";"      87";"    2292";"    46.2"
"5889";"2030170";"A048710";"A048583";"MBG0095";"PV26    ";"2022JJ00";"    0.19";"    5.02";"    6.03";"      71";"    1833";"    36.7"
"5894";"2030170";"A048710";"A048583";"MBG0095";"PV27    ";"2022JJ00";"    0.17";"    4.28";"    5.39";"      63";"    1563";"    32.8"
"5899";"2030170";"A048710";"A048583";"MBG0095";"PV28    ";"2022JJ00";"    0.19";"    4.34";"    6.11";"      69";"    1585";"    37.1"
"5904";"2030170";"A048710";"A048583";"MBG0095";"PV29    ";"2022JJ00";"    0.30";"    6.85";"    7.44";"     108";"    2501";"    45.3"
"5909";"2030170";"A048710";"A048583";"MBG0095";"PV30    ";"2022JJ00";"    0.26";"    6.20";"    7.68";"      96";"    2262";"    46.7"
"5914";"2030170";"A048710";"A048583";"MBG0095";"PV31    ";"2022JJ00";"    0.27";"    6.08";"    7.21";"      99";"    2219";"    43.8"
"5919";"2030170";"A048710";"A048583";"MBG0095";"1018850 ";"2022JJ00";"    0.14";"    3.36";"    4.55";"      52";"    1227";"    27.7"
"5924";"2030170";"A048710";"A048583";"MBG0095";"1018905 ";"2022JJ00";"    0.22";"    5.50";"    6.71";"      79";"    2008";"    40.8"
"5929";"2030170";"A048710";"A048583";"MBG0095";"1018955 ";"2022JJ00";"    0.24";"    5.76";"    7.21";"      87";"    2103";"    43.9"
"5934";"2030170";"A048710";"A048583";"MBG0095";"1019005 ";"2022JJ00";"    0.28";"    6.74";"    8.00";"     102";"    2459";"    48.7"
"5939";"2030170";"A048710";"A048583";"MBG0095";"1019052 ";"2022JJ00";"    0.27";"    6.11";"    7.25";"      99";"    2230";"    44.1"
"5944";"2030170";"A048710";"A048584";"MW00000";"NL01    ";"2022JJ00";"    0.01";"    0.26";"    0.34";"       4";"      93";"     2.1"
"5949";"2030170";"A048710";"A048584";"MW00000";"LD01    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"5954";"2030170";"A048710";"A048584";"MW00000";"LD02    ";"2022JJ00";"    0.01";"    0.35";"    0.45";"       5";"     127";"     2.7"
"5959";"2030170";"A048710";"A048584";"MW00000";"LD03    ";"2022JJ00";"    0.01";"    0.21";"    0.30";"       4";"      78";"     1.8"
