NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3742176;2023-10-01;2023-10-01;14:06:28;14:10:00;8,833;2500,000;3,533;96,1;98,6;A;7;A7;aflopend;Kornwerderzand;P Breezanddijk;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 4];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742177;2023-10-01;2023-10-01;14:06:28;14:16:00;22,523;2363,000;9,533;97,0;94,7;A;7;A7;oplopend;P Breezanddijk;Kornwerderzand;Den Oever;Zurich;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 10];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742181;2023-10-01;2023-10-01;14:12:28;14:28:00;39,062;2515,000;15,533;254,9;257,1;N;50;N50;aflopend;Ens;Eilandbrug;Emmeloord;Zwolle;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 16];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742182;2023-10-01;2023-10-01;14:14:28;14:18:00;7,420;2100,000;3,533;96,1;98,2;A;7;A7;aflopend;Kornwerderzand;P Breezanddijk;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 4];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742183;2023-10-01;2023-10-01;14:15:32;14:21:00;15,750;2881,000;5,467;31,9;34,8;A;20;A20;aflopend;Rotterdam-Crooswijk;Rotterdam-Schiebroek;Gouda;Hoek van Holland;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742185;2023-10-01;2023-10-01;14:19:28;14:27:00;20,340;2700,000;7,533;19,2;21,9;N;35;N35;aflopend;Deventer;Heino-Zuid;Almelo;Zwolle;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742192;2023-10-01;2023-10-01;14:30:28;14:33:00;6,073;2397,000;2,533;21,7;23,9;N;35;N35;aflopend;Industriegebied De Zegge;Ommen;Almelo;Zwolle;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742193;2023-10-01;2023-10-01;14:32:27;14:35:00;6,630;2600,000;2,550;255,8;253,2;N;50;N50;oplopend;Kampen-Noord;Ramspolbrug;Zwolle;Emmeloord;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742195;2023-10-01;2023-10-01;14:43:27;14:45:00;3,255;2100,000;1,550;84,8;86,9;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742196;2023-10-01;2023-10-01;14:44:28;14:59:00;43,253;2976,000;14,533;140,2;143,5;A;12;A12;aflopend;Zevenaar;Duiven;Duitse grens;Arnhem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 15];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742203;2023-10-01;2023-10-01;14:53:28;14:57:00;9,300;2632,000;3,533;42,9;45,7;A;16;A16;aflopend;Klaverpolder;Dordtse Kil;Breda;Rotterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742205;2023-10-01;2023-10-01;14:58:27;15:00:01;3,290;2100,000;1,567;45,7;47,8;A;2;A2;aflopend;Breukelen;Vinkeveen;Utrecht;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742206;2023-10-01;2023-10-01;14:59:28;15:03:00;9,020;2553,000;3,533;156,7;158,8;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
